Ursprung,Ziel,Typ
aufschließen,Agnes von Lilien,Ungerichtet
Richtung,Agnes von Lilien,Ungerichtet
Welt,Agnes von Lilien,Ungerichtet
Quelle,Agnes von Lilien,Ungerichtet
Spähre,Agnes von Lilien,Ungerichtet
Kreis,Agnes von Lilien,Ungerichtet
Grenzlinie,Alf von Dülmen,Ungerichtet
Jenseits,Andreas Vöst,Ungerichtet
hoch / Höher,Berlin Alexanderplatz,Ungerichtet
Ober-/Unterwelt,Christa Ruland,Ungerichtet
Quelle,Das Blüthenalter der Empfindung,Ungerichtet
entfesselt,Das Blüthenalter der Empfindung,Ungerichtet
Himmel,Der im Irr-Garten der Liebe herum taumelnde Cavalier,Ungerichtet
Lustgarten,Der im Irr-Garten der Liebe herum taumelnde Cavalier,Ungerichtet
Weg,Der im Irrgarten der Liebe herum taumelnde Cavalier,Ungerichtet
Himmel,Der redliche Mann am Hofe,Ungerichtet
Groß / Größe,Der Sonnenwirt,Ungerichtet
hoch / Höher,Der Sonnenwirt,Ungerichtet
Hölle,Der Sonnenwirt,Ungerichtet
Groß / Größe,Die Ahnen,Ungerichtet
Himmel,Die Akten des Vogelsang,Ungerichtet
Himmel,Die Amtmannin von Hohenweiler,Ungerichtet
Hölle,Elisa,Ungerichtet
Groß / Größe,Elisa,Ungerichtet
Himmel,Elisa,Ungerichtet
Richtung,Elisa,Ungerichtet
entfernen,Elisa,Ungerichtet
Groß / Größe,Evremont,Ungerichtet
hoch / Höher,Evremont,Ungerichtet
durchdringend ,Evremont,Ungerichtet
Groß / Größe,Faustine,Ungerichtet
hoch / Höher,Faustine,Ungerichtet
Weg,Faustine,Ungerichtet
Groß / Größe,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
Hölle,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
flach,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
Band,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
Grenzen,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
hoch / Höher,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
hinaufschrauben,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
wachsen,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
verloren sein,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
Ober-/Unterwelt,"Fausts Leben, Taten und Höllenfahrt",Ungerichtet
Groß / Größe,Feldblumen,Ungerichtet
vorschweben,Feldblumen,Ungerichtet
Eden,Feldblumen,Ungerichtet
Abgrund,Feldblumen,Ungerichtet
Groß / Größe,Florentin,Ungerichtet
Umfangen,Florentin,Ungerichtet
Fesseln,Florentin,Ungerichtet
Mauern,Florentin,Ungerichtet
(sich) entfalten,Florentin,Ungerichtet
erdrückend,Florentin,Ungerichtet
Himmel,Geschichte der Abderiten,Ungerichtet
Groß / Größe,Heieteretei,Ungerichtet
klein,Heiteretei,Ungerichtet
Revier,Heiteretei,Ungerichtet
aufgehen,Herrn Dames Aufzeichnungen,Ungerichtet
untergehen,Herrn Dames Aufzeichnungen,Ungerichtet
Welt,Hyperion Fragment,Ungerichtet
Untergehen,Hyperion Fragment,Ungerichtet
Paradies,Hyperion Fragment,Ungerichtet
entfesselt,Hyperion Fragment,Ungerichtet
auferstanden,Hyperion Fragment,Ungerichtet
Gedankenwelt,Hyperion Fragment,Ungerichtet
Groß / Größe,Kakerlak,Ungerichtet
Groß / Größe,Leben und Lüge,Ungerichtet
geradeausgehend,Leben und Lüge,Ungerichtet
Aufsteigend,Lebensläufe in aufsteigender Linie,Ungerichtet
Himmel,Lebensläufe in aufsteigender Linie,Ungerichtet
Jammerthal,Lebensläufe nach aufsteigender Linie,Ungerichtet
Untergehen,Lebensläufe nach aufsteigender Linie,Ungerichtet
Quelle,Maria,Ungerichtet
Feld,Martha's Kinder,Ungerichtet
Lebensweg,Martha's Kinder,Ungerichtet
Boden,Martha's Kinder,Ungerichtet
Groß / Größe,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
Quelle,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
hoch / Höher,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
Babel,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
hereinbrechen,Problematische Naturen. Zweite Abteilung (durch Nacht zum Licht),Ungerichtet
Himmelsleiter,Rodrich,Ungerichtet
Welt,Rodrich,Ungerichtet
Weg,Rodrich,Ungerichtet
Groß / Größe,Sibilla Dalmar,Ungerichtet
Gewerkswelt,Feldblumen,Ungerichtet
Ausdruck,Titel,Ungerichtet
Groß / Größe,Usong,Ungerichtet
Familienzweig,Usong,Ungerichtet
Weg,Vogelsang,Ungerichtet
"in den Händen von jemandem sein, jemandem in die Hände fallen / geraten",Der im Irrgarten der Liebe herumtaumelnde Cavalier,Ungerichtet
Aus der Garküche der deutschen Mundart und Reimkunst verstoßen,Der im Irr-Garten der Liebe herum taumelnde Cavalier,Ungerichtet
der Weg zur Gelehrsamkeit zu gelangen,Der im Irr-Garten der Liebe herum taumelnde Cavalier,Ungerichtet
in hohe Posten geschwungen,Der im Irr-Garten der Liebe herum taumelnde Cavalier,Ungerichtet
es weit bringen,Der im Irr-Garten der Liebe herum taumelnde Cavalier,Ungerichtet
Jemandem oder etwas im Wege stehen,Der im Irr-Garten der Liebe herum taumelnde Cavalier,Ungerichtet
im Liebesgarne gefangen,Der im Irr-Garten der Liebe herum taumelnde Cavalier,Ungerichtet
augenblicklich eine ungemeine Liebe auf jemanden werfen,Der im Irr-Garten der Liebe herum taumelnde Cavalier,Ungerichtet
in die Hände spielen,Der redliche Mann am Hofe,Ungerichtet
