Id,Label,Attribut,Kernwort,Bedeutung,Autor:in,Jahr,Jahrhundert
(sich) entfalten,(sich) entfalten,Metapher,(sich) entfalten,die eigene Persönlichkeit entwickeln,,,
Abgrund,Abgrund,Metapher,Abgrund,etwas Nagatives / Drohendes,,,
alle ihre ausgeworfenen Netze zieht sie leer wieder zurück,alle ihre ausgeworfenen Netze zieht sie leer wieder zurück,Metapher,Netz,keines ihrer Ziele kann sie umsetzen,,,
Als ein kleiner Ätna die Flammen einer unumschränkten Liebe kaum annoch verbergen können,Als ein kleiner Ätna die Flammen einer unumschränkten Liebe kaum annoch verbergen können,Metapher,Ätna,etwas für sich behalten wollen ohne es zu können,,,
"als hätte man den Schlüssel zu einer sonst verschlossenen Türe, und wenn man hineingeht, so trifft man oft auf Dinge, die man gar nicht hinter dieser Türe gesucht hätte","als hätte man den Schlüssel zu einer sonst verschlossenen Türe, und wenn man hineingeht, so trifft man oft auf Dinge, die man gar nicht hinter dieser Türe gesucht hätte",Metapher,Schlüssel,"etwas erkennen, das nicht leicht zu sehen ist und dadurch noch mehr entdecken",,,
als sollt der Schlossturm gekocht werden und man braucht einen Topf dazu,als sollt der Schlossturm gekocht werden und man braucht einen Topf dazu,Metapher,Topf,"es ist vom Regen so schlammig, dass es aussieht wie eine Suppe",,,
Als stiege ein Gott herunter zu einem unschuldigen Volke,Als stiege ein Gott herunter zu einem unschuldigen Volke,Metapher,heruntersteigen,Beschrieben wird ein erhabener Zustand,,,
alte Formen sprengen,alte Formen sprengen,Metapher,sprengen,etwas Neues tun,,,
am Rande der Hölle,am Rande der Hölle,Metapher,Rande,auf der Seite des Bösen,,,
an der Nase herum führen,an der Nase herum führen,Metapher,Nase ,nicht aufrichtig zu jemandem sein,,,
an der Stufe des richtenden Throns / des Richterstuhls,an der Stufe des richtenden Throns / des Richterstuhls,Metapher,Stufe,beinahe vor Gericht stehen,,,
"an einen Faden anknüpfen, den man zuvor fallen ließ","an einen Faden anknüpfen, den man zuvor fallen ließ",Metapher,anknüpfen,eine Tätigkeit / Meinung wieder aufnehmen,,,
an etwas hängen,an etwas hängen,Metapher,hängen,etwas sehr mögen,,,
an jemandem hängen,an jemandem hängen,Metapher,hängen,jemanden sehr mögen,,,
auf dem früher geebneten Wege fortziehen,auf dem früher geebneten Wege fortziehen,Metapher,Weg,weiter handeln wie bisher,,,
auf dem höchsten Gaul sitzen,auf dem höchsten Gaul sitzen,Metapher,Gaul,arrogant sein,,,
auf dem hohen Pferde sitzen,auf dem hohen Pferde sitzen,Metapher,Pferd,hochmütig sein,,,
auf dem Teller präsentieren,auf dem Teller präsentieren,Metapher,,,,,
auf der Bahn des Lebens wandeln,auf der Bahn des Lebens wandeln,Metapher,wandeln,leben,,,
auf der Retorte seines Skepticismus alle Gefühle zu Gedanken verflüchtigt,auf der Retorte seines Skepticismus alle Gefühle zu Gedanken verflüchtigt,Metapher,Retorte,seine Gefühle rationalisiert,,,
auf die Höhe bringen,auf die Höhe bringen,Metapher,Höhe,modernisieren,,,
auf einem Standpunkt stehen,auf einem Standpunkt stehen,Metapher,Standpunkt,eine Meinung haben,,,
auf jemanden ein Glück bauen können,auf jemanden ein Glück bauen können,Metapher,bauen,jemanden sehr verlässlich finden,,,
auf militärischen Fuß eingerichtet sein,auf militärischen Fuß eingerichtet sein,Metapher,Fuß,Gehorsam erwarten,,,
"auf morschem, verfallenen Grund bauen","auf morschem, verfallenen Grund bauen",Metapher,Grund,etwas sinnloses tun,,,
auf schlimmere Wege führen,auf schlimmere Wege führen,Metapher,Weg,"dazu verleiten, etwas schlechtes zu tun",,,
auf unrechtem Pfade sein,auf unrechtem Pfade sein,Metapher,Pfad,etwas unrechtes tun,,,
auferstanden,auferstanden,Metapher,auferstanden,"die beschriebene Figur fühlt sich erneuert, hat neuen Lebensmut",,,
aufgehen,aufgehen,Metapher,aufgehen,sehr zufrieden mit etwas sein,,,
aufschließen,aufschließen,Metapher,aufschließen,Zugang zu etwas finden,,,
Aufsteigend,Aufsteigend,Metapher,Aufsteigend,erfolgreicher werdend,,,
augenblicklich eine ungemeine Liebe auf jemanden werfen,augenblicklich eine ungemeine Liebe auf jemanden werfen,Metapher,werfen,sofort verliebt sein,,,
aus dem Weg schaffen,aus dem Weg schaffen,Metapher,Weg,jemanden umbringen,,,
Aus der Garküche der deutschen Mundart und Reimkunst verstoßen,Aus der Garküche der deutschen Mundart und Reimkunst verstoßen,Metapher,Garküche,als Dichter nicht anerkennen,,,
aus der Haut fahren,aus der Haut fahren,Metapher,Haut,wütend werden,,,
aus der Rolle der Zuhörerin heraustreten,aus der Rolle der Zuhörerin heraustreten,Metapher,heraustreten,sich einmischen,,,
aus entlegenster Vergangenheit in entlegenste Zukunft,aus entlegenster Vergangenheit in entlegenste Zukunft,Metapher,entlegen,über weite Zeiträume der Menschheitsgeschichte,,,
außerhalb der eigenen Grenzen,außerhalb der eigenen Grenzen,Metapher,Grenze,außerhalb der eigenen Erfahrungswelt,,,
Babel,Babel,Metapher,Babel,sündiger Ort,,,
Bahn des Rechten,Bahn des Rechten,Metapher,Bahn,das Richtige tun,,,
Band,Band,Metapher,Band,"Verpflichtung, Verbundenheit",,,
"bändigt einmal den Strom, wenn ihr die Dämme eingerissen habt","bändigt einmal den Strom, wenn ihr die Dämme eingerissen habt",Metapher,bändigen,"Mit der Wirkung kämpfen, da die Ursache nicht mehr beseitigt werden kann",,,
"Befestigen, was man erobert hat","Befestigen, was man erobert hat",Metapher,befestigen,eine Position stärken,,,
Begraben in ihr Elend,Begraben in ihr Elend,Metapher,begraben,sehr elend sein,,,
bei der Hand sein,bei der Hand sein,Metapher,,bereit sein,,,
