Autor*in,Titel,Datum,Quelle
"Loën, Johann Michael von",Der redliche Mann am Hofe,1713,TextGrid Repository
"Schnabel, Johann Gottfried ",Der im Irrgarten der Liebe herumtaumelnde Kavalier,1738,TextGrid Repository
"Haller, Albrecht von ",Usong,1771,TextGrid Repository
"Wezel, Johann Karl",Belphegor,1776,TextGrid Repository
"Hippel, Theodor-Gottlieb von",Lebensläufe nach aufsteigender Linie,1778,TextGrid Repository
"Jacobi, Friedrich Heinrich",Woldemar,1779,TextGrid Repository
"Wieland, Christoph Martin",Geschichte der Abderiten,1781,TextGrid Repository
"Liebeskind, Margareta Sophia",Maria,1784,TextGrid Repository
"Wezel, Johann Karl",Karl Kakerlak,1784,TextGrid Repository
"Heinse, Wilhelm",Ardinghello,1787,TextGrid Repository
"Naubert, Benedikte ",Die Amtmannin von Hohenweiler,1788,TextGrid Repository
"Wieland, Christoph Martin",Peregrinus Proteus,1789,TextGrid Repository
"Naubert, Benedikte ",Alf von Dülmen,1791,TextGrid Repository
"Klinger, Maximilian","Fausts Leben, Thaten und Höllenfahrt",1791,TextGrid Repository
"Wolzogen, Caroline von",Agnes von Lilien,1793,TextGrid Repository
"Hiölderlin, Friedrich ",Hyperion Fragment,1794,TextGrid Repository
"Mereau, Sophie",Das Blüthenalter der Empfindung,1794,TextGrid Repository
"Hippel, Theodor-Gottlieb von",Kreuz- und Querzüge des Ritters von A bis Z,1794,TextGrid Repository
"Wobeser, Wilhelmine Karoline von",Elisa,1795,TextGrid Repository
"Vulpius, Christian August",Rinaldo Rinaldini,1799,TextGrid Repository
