Autor*in,Titel,Datum,Quelle
"Schlegel, Dorothea",Florentin,1801,TextGrid Repository
"Fischer, Caroline Auguste",Die Honigmonathe,1802,TextGrid Repository
"de la Motte Fouqué, Caroline",Rodrich,1806,TextGrid Repository
"Bernhardi, Sophie",Evremont,1836,TextGrid Repository
"Stifter, Adalbert",Feldblumen,1840,TextGrid Repository
"Hahn-Hahn, Ida Graefin von ",Graefin Faustine,1841,TextGrid Repository
"Lewald, Fanny",Janny,1843,TextGrid Repository
"Paalzow, Henriette von",Ste. Roche,1847,TextGrid Repository
"Gotthelf, Jeremias",Uli der Pächter,1849,TextGrid Repository
"Kurz, Hermann",Der Sonnenwirt,1855,TextGrid Repository
"Ludwig, Otto",Die Heiteretei und ihr Widerspiel,1857,TextGrid Repository
"Zschokke, Heinrich",Das Goldmacherdorf,1857,TextGrid Repository
"Stifter, Adalbert",Der Nachsommer,1857,TextGrid Repository
"Spielhagen, Friedrich",Problematische Naturen. Erste Abtheilung,1861,TextGrid Repository
"Freytag, Gustav",Die Ahnen,1880,TextGrid Repository
"Fontane, Theodor","Irrungen, Wirrungen",1887,TextGrid Repository
"Boy-Ed, Ida",Fanny Förster,1889,TextGrid Repository
"Dohm, Hedwig ",Sibilla Dalmar,1896,TextGrid Repository
"Raabe, Wilhelm",Die Akten des Vogelsangs,1896,TextGrid Repository
"Marlitt, Eugenie",Das Heideprinzeßchen,1900,TextGrid Repository
